Gene,IG Score Before Training,IG Score After Training,change
EYA3,0.2689414322376251,0.0002386283886153,0.2687028038490098
GPR3,0.2689414322376251,0.0002415379713056,0.2686998942663195
PTAFR,0.2689414322376251,0.0002415462658973,0.26869988597172784
STX12,0.2689414322376251,0.0002365006075706,0.26870493163005454
PHACTR4,0.2689414322376251,0.000238918888499,0.26870251334912615
GMEB1,0.2689414322376251,0.0002387332933722,0.2687026989442529
EPB41,0.2689414322376251,0.0002399262593826,0.26870150597824255
MECR,0.2689414322376251,0.0002409413136774,0.2687004909239477
OPRD1,0.2689414322376251,0.000242363588768,0.2686990686488571
TRNAU1AP,0.2689414322376251,0.0002436176728224,0.26869781456480274
LOC101929406,0.2689414322376251,0.2689414322376251,0.0
NKAIN1,0.2689414322376251,0.0002425760467303,0.26869885619089484
ZCCHC17,0.2689414322376251,0.0002381117956247,0.2687033204420004
PUM1,0.2689414322376251,0.0002379150391789,0.2687035171984462
BSDC1,0.2689414322376251,0.0002487283200025,0.2686927039176226
KPNA6,0.2689414322376251,0.0002390328008914,0.26870239943673374
KIAA1522,0.2689414322376251,0.0002484697324689,0.26869296250515623
AK2,0.2689414322376251,0.2689414322376251,0.0
ZNF362,0.2689414322376251,0.0002542097063269,0.26868722253129823
TRIM62,0.2689414322376251,0.000240371125983,0.2687010611116421
ZBTB8OS,0.2689414322376251,0.2689414322376251,0.0
TMEM54,0.2689414322376251,0.0002352015144424,0.2687062307231827
C1orf94,0.2689414322376251,0.0002428004809189,0.2686986317567062
ZMYM4,0.2689414322376251,0.0002989694476127,0.2686424627900124
KIAA0319L,0.2689414322376251,0.0002382855309406,0.26870314670668455
ZMYM6,0.2689414322376251,0.0002912214840762,0.26865021075354895
AGO1,0.2689414322376251,0.0002971043577417,0.2686443278798834
AGO3,0.2689414322376251,0.0002367234847042,0.2687047087529209
MAP7D1,0.2689414322376251,0.0002335552271688,0.26870787701045634
SH3D21,0.2689414322376251,0.000241607078351,0.2686998251592741
OSCP1,0.2689414322376251,0.0002407077990937,0.26870072443853144
RSPO1,0.2689414322376251,0.0002428287552902,0.26869860348233493
GRIK3,0.2689414322376251,0.0002421554818283,0.2686992767557968
INPP5B,0.2689414322376251,0.0002433163463138,0.2686981158913113
RHBDL2,0.2689414322376251,0.0002421450917609,0.2686992871458642
MACF1,0.2689414322376251,0.0002257501619169,0.26871568207570823
RLF,0.2689414322376251,0.000241479705437,0.26869995253218815
RIMS3,0.2689414322376251,0.0002441003452986,0.26869733189232653
NFYC,0.2689414322376251,0.0002404185943305,0.26870101364329463
SLFNL1-AS1,0.2689414322376251,0.2689414322376251,0.0
SCMH1,0.2689414322376251,0.0002417492505628,0.2686996829870623
FOXJ3,0.2689414322376251,0.0002394988550804,0.2687019333825447
PPCS,0.2689414322376251,0.0002543910813983,0.2686870411562268
CCDC30,0.2689414322376251,0.0002439586533,0.2686974735843251
LOC339539,0.2689414322376251,0.2689414322376251,0.0
CFAP57,0.2689414322376251,0.0002421575482003,0.26869927468942484
MED8,0.2689414322376251,0.0002864154521375,0.26865501678548764
ST3GAL3,0.2689414322376251,0.0002335436729481,0.26870788856467703
ERI3,0.2689414322376251,0.0002421268582111,0.268699305379414
RNF220,0.2689414322376251,0.0002367359120398,0.2687046963255853
C1orf228,0.2689414322376251,0.2689414322376251,0.0
PTCH2,0.2689414322376251,0.0002428201696602,0.2686986120679649
EIF2B3,0.2689414322376251,0.0002394858311163,0.2687019464065088
TESK2,0.2689414322376251,0.0002418172371108,0.2686996150005143
NASP,0.2689414322376251,0.0002424461126793,0.2686989861249458
IPP,0.2689414322376251,0.0002393739850958,0.2687020582525293
MAST2,0.2689414322376251,0.0002385037223575,0.2687029285152676
RAD54L,0.2689414322376251,0.0002391476882621,0.268702284549363
FAAH,0.2689414322376251,0.0002611584495753,0.2686802737880498
ATPAF1,0.2689414322376251,0.0002364115644013,0.2687050206732238
TRABD2B,0.2689414322376251,0.0002420329110464,0.2686993993265787
SKINT1L,0.2689414322376251,0.2689414322376251,0.0
SPATA6,0.2689414322376251,0.0002405756385996,0.26870085659902554
BEND5,0.2689414322376251,0.0002424433332635,0.2686989889043616
AGBL4-IT1,0.2689414322376251,0.2689414322376251,0.0
ELAVL4,0.2689414322376251,0.0002431625907775,0.2686982696468476
FAF1,0.2689414322376251,0.0002420153759885,0.2686994168616366
C1orf185,0.2689414322376251,0.0002423125260975,0.2686991197115276
RNF11,0.2689414322376251,0.0002394401672063,0.26870199207041884
TXNDC12,0.2689414322376251,0.0002334345772396,0.2687079976603855
ZFYVE9,0.2689414322376251,0.0002343993983231,0.26870703283930203
OSBPL9,0.2689414322376251,0.0002375670883338,0.26870386514929134
COA7,0.2689414322376251,0.0002404410624876,0.2687009911751375
ZYG11B,0.2689414322376251,0.0002982600126415,0.26864317222498363
PODN,0.2689414322376251,0.0002443197008688,0.2686971125367563
C1orf123,0.2689414322376251,0.2689414322376251,0.0
SCP2,0.2689414322376251,0.0002376853663008,0.2687037468713243
GLIS1,0.2689414322376251,0.0002428755251457,0.26869855671247944
