Gene,IG Score After Training
LINC01057,0.2689414322376251
ALG14,0.00024331588065251708
TMEM56,0.2689414322376251
TMEM56-RWDD3,0.2689414322376251
LOC101928241,0.2689414322376251
DPYD-AS1,0.2689414322376251
PTBP2,0.00023883345420472324
MIR137HG,0.2689414322376251
PLPPR5,0.00024234257580246776
LOC100129620,0.2689414322376251
LOC101928270,0.2689414322376251
SNX7,0.0002970287168864161
AGL,0.00023412912560161203
SLC35A3,0.0002390177542110905
TRMT13,0.00023942010011523962
RTCA,0.00024044013116508722
CDC14A,0.00024397610104642808
FRRS1,0.00023873421014286578
SLC30A7,0.00030038773547858
LOC102606465,0.2689414322376251
OLFM3,0.00024168861273210496
COL11A1,0.00024267990374937654
RNPC3,0.00024645033408887684
VAV3,0.00024356981157325208
NTNG1,0.00024353477056138217
HENMT1,0.000242694717599079
GPSM2,0.00024029139603953809
STXBP3,0.00023774043074809015
KIAA1324,0.00023798558686394244
SORT1,0.0002405595878371969
GNAI3,0.0002784142561722547
KCNC4,0.00023968893219716847
KCNA2,0.00024377078807447106
CD53,0.00024317162751685828
TMIGD3,0.0002432785404380411
RAP1A,0.0002885475696530193
KCND3,0.00024227073299698532
CTTNBP2NL,0.00024286835105158389
ST7L,0.00024062980082817376
FAM19A3,0.2689414322376251
LRIG2,0.00024009973276406527
MAGI3,0.00024252980074379593
RSBN1,0.00024008139735087752
AP4B1,0.00024254505115095526
AMPD1,0.00024188989482354373
SYCP1,0.00024265078536700457
TRIM33,0.0002349952992517501
TSPAN2,0.00024134023988153785
SLC22A15,0.00024321500677615404
MAB21L3,0.00024275490432046354
CASQ2,0.00024065986508503556
CD58,0.00023961854458320886
IGSF3,0.0002400118246441707
PTGFRN,0.00024459377164021134
LOC101929099,0.2689414322376251
LINC01525,0.2689414322376251
VTCN1,0.00024183040659409016
SPAG17,0.0002422141405986622
LOC101929147,0.2689414322376251
REG4,0.00024242229119408876
NOTCH2,0.00024126913922373205
NBPF8,0.2689414322376251
HIST2H2BA,0.2689414322376251
SRGAP2C,0.2689414322376251
NBPF15,0.2689414322376251
SRGAP2D,0.2689414322376251
GPR89A,0.2689414322376251
SRGAP2B,0.2689414322376251
FAM72D,0.2689414322376251
NBPF20,0.00030166917713359
ANKRD35,0.00024188250245060772
FMO5,0.00024381749972235411
LINC00624,0.2689414322376251
BCL9,0.00024160176690202206
NBPF11,0.0002436464565107599
GPR89B,0.00024076312547549605
LOC101927468,0.2689414322376251
VPS45,0.0002342952648177743
PRPF3,2.637237594171893e-05
RPRD2,0.00023733029956929386
CTSS,0.0002413747424725443
ARNT,0.0002337590849492699
CGN,0.00024428823962807655
TDRKH,0.00024313406902365386
SNX27,0.00023439692449755967
PSMD4,0.00023093237541615963
FLG,0.00024216124438680708
LCE2A,0.0002855421626009047
INTS3,0.00023437525669578463
GATAD2B,0.00023327971575781703
TDRD10,0.00024220789782702923
KCNN3,0.00024169737298507243
PMVK,0.0002383477840339765
LOC100505666,0.2689414322376251
ADAM15,0.0002926509769167751
FDPS,0.00023275139392353594
ASH1L,1.8133727280655876e-05
ARHGEF2,0.00023673793475609273
LMNA,7.671438652323559e-05
GON4L,0.000282492081169039
DAP3,1.761498424457386e-05
MEF2D,0.000235377621720545
ARHGEF11,0.0002367760898778215
LOC105371458,0.2689414322376251
KIRREL,0.2689414322376251
FCRL5,0.00024121164460666478
FCRL3,0.0002432908513583243
