Gene,IG Score Before Training,IG Score After Training,Difference
FCER1G,0.2536087,0.25364628,3.758073e-05
HSPA5,0.19084352,0.1908808,3.7282705e-05
URM1,0.2414652,0.2415022,3.6999583e-05
FNDC3B,0.22477706,0.22481398,3.6925077e-05
SREBF1,0.25155026,0.25158697,3.671646e-05
EEF2,0.08297914,0.08301573,3.65898e-05
AFF4,0.20821609,0.20825267,3.658235e-05
SLC25A23,0.20721877,0.20725524,3.6478043e-05
SLC6A17,0.22879478,0.22883122,3.643334e-05
CD58,0.26162302,0.26165894,3.59118e-05
TBC1D20,0.24191344,0.24194928,3.5837293e-05
ATM,0.24689694,0.2469327,3.5762787e-05
PIR,0.26689664,0.26693234,3.5703182e-05
PTPRD,0.2309466,0.23098217,3.556907e-05
ATG13,0.23202346,0.23205885,3.5390258e-05
CNPY2,0.16855691,0.16859205,3.5136938e-05
ATN1,0.4151709,0.4152059,3.4987926e-05
ITGB3,0.2699014,0.26993626,3.4868717e-05
CTDSP1,0.2674286,0.26746348,3.4868717e-05
CYBB,0.26012892,0.26016364,3.4719706e-05
AP3D1,0.20792489,0.2079596,3.4719706e-05
RGS12,0.261037,0.26107156,3.4570694e-05
SPI1,0.42749554,0.42753005,3.451109e-05
CCNL2,0.20464233,0.20467663,3.4302473e-05
GPBP1,0.21222506,0.21225934,3.427267e-05
AKNA,0.27070025,0.2707341,3.385544e-05
RIC8A,0.25014547,0.25017917,3.3706427e-05
MMP15,0.25891963,0.25895333,3.3706427e-05
ARHGEF11,0.26824835,0.26828188,3.3527613e-05
NRG3,0.20974603,0.2097795,3.3468008e-05
RNF13,0.23103619,0.23106942,3.322959e-05
NME2,0.05895351,0.05898673,3.322214e-05
SP100,0.30554375,0.30557683,3.3080578e-05
TIAM2,0.2709155,0.27094853,3.3020973e-05
WIPF1,0.32528412,0.32531714,3.3020973e-05
CSPG4,0.27207562,0.27210844,3.2812357e-05
ACSS1,0.24554147,0.24557401,3.2544136e-05
ZNF358,0.21444675,0.21447916,3.2410026e-05
CST3,0.23784406,0.23787631,3.2246113e-05
ARHGDIB,0.2491551,0.24918732,3.221631e-05
GBP1,0.20903729,0.20906927,3.1977892e-05
ITGA9,0.24643221,0.24646413,3.1918287e-05
