Gene,IG Score Before Training,IG Score After Training,Difference
HMGN4,0.2427107,0.24271075,5.9604645e-08
PRKAG1,0.23923923,0.23923929,5.9604645e-08
NAA16,0.25821635,0.2582164,5.9604645e-08
FBXL3,0.24767022,0.24767028,5.9604645e-08
CNTROB,0.25821564,0.2582157,5.9604645e-08
GLI4,0.26182383,0.2618239,5.9604645e-08
MOV10,0.22965318,0.22965324,5.9604645e-08
PYM1,0.25746432,0.25746438,5.9604645e-08
CDKN1B,0.28153813,0.2815382,5.9604645e-08
FAAP100,0.2544821,0.25448215,5.9604645e-08
SMYD5,0.26055536,0.26055542,5.9604645e-08
SLC25A30,0.2638865,0.26388657,5.9604645e-08
KRT8,0.0059333555,0.0059334114,5.5879354e-08
TMEM123,0.12315409,0.12315414,5.2154064e-08
ATP6V0A1,0.20671076,0.2067108,4.4703484e-08
PLOD2,0.16525687,0.16525692,4.4703484e-08
CAMSAP2,0.22909088,0.22909093,4.4703484e-08
ORMDL3,0.23338388,0.23338392,4.4703484e-08
UBE2V1,0.15494001,0.15494005,4.4703484e-08
RC3H2,0.22365116,0.2236512,4.4703484e-08
ETHE1,0.2187716,0.21877165,4.4703484e-08
BCL2L1,0.20792328,0.20792332,4.4703484e-08
STK38,0.21235538,0.21235542,4.4703484e-08
VPS41,0.23284692,0.23284696,4.4703484e-08
NBAS,0.2318353,0.23183535,4.4703484e-08
CCDC88A,0.21484497,0.21484502,4.4703484e-08
TES,0.21541995,0.21542,4.4703484e-08
E4F1,0.23438369,0.23438373,4.4703484e-08
PDCD6IP,0.18736334,0.18736339,4.4703484e-08
BRMS1,0.20315917,0.20315921,4.4703484e-08
ACAP3,0.21563785,0.21563789,4.4703484e-08
PRPF39,0.22620642,0.22620647,4.4703484e-08
XRN2,0.19611664,0.19611669,4.4703484e-08
KLF6,0.14162141,0.14162146,4.4703484e-08
MYBL2,0.20452277,0.20452282,4.4703484e-08
ACP2,0.23327349,0.23327354,4.4703484e-08
ATP1B3,0.22026159,0.22026163,4.4703484e-08
BAZ2B,0.21764551,0.21764556,4.4703484e-08
PAFAH1B1,0.2148579,0.21485795,4.4703484e-08
CDC42BPB,0.21372272,0.21372277,4.4703484e-08
MARCH5,0.24053644,0.24053648,4.4703484e-08
SPPL2A,0.22541735,0.22541739,4.4703484e-08
GBP1,0.20903729,0.20903733,4.4703484e-08
USP9X,0.19447395,0.194474,4.4703484e-08
DNAJC4,0.21662658,0.21662663,4.4703484e-08
IRS2,0.20638241,0.20638245,4.4703484e-08
PPHLN1,0.23318997,0.23319001,4.4703484e-08
APOL2,0.20007955,0.20007959,4.4703484e-08
PGP,0.22065617,0.22065622,4.4703484e-08
LARP1,0.2420247,0.24202475,4.4703484e-08
FYTTD1,0.22538564,0.22538568,4.4703484e-08
CNOT11,0.22794412,0.22794417,4.4703484e-08
ALCAM,0.10672282,0.10672286,4.4703484e-08
ZDHHC16,0.24376209,0.24376214,4.4703484e-08
TMEM179B,0.21665058,0.21665062,4.4703484e-08
KDM5B,0.2102791,0.21027915,4.4703484e-08
CMSS1,0.21566351,0.21566355,4.4703484e-08
PI4KA,0.21217352,0.21217357,4.4703484e-08
SPECC1L,0.20935816,0.2093582,4.4703484e-08
LAD1,0.22438832,0.22438836,4.4703484e-08
WLS,0.22898488,0.22898492,4.4703484e-08
SUPT6H,0.21866654,0.21866658,4.4703484e-08
DPH3,0.23925507,0.23925512,4.4703484e-08
C9orf78,0.22136568,0.22136572,4.4703484e-08
N4BP2L2,0.21862149,0.21862154,4.4703484e-08
SLC38A1,0.15979128,0.15979132,4.4703484e-08
RNF40,0.23133294,0.23133299,4.4703484e-08
GGA3,0.24306296,0.243063,4.4703484e-08
BRD7,0.20380212,0.20380217,4.4703484e-08
KLHDC10,0.22729477,0.22729482,4.4703484e-08
CSK,0.23643762,0.23643766,4.4703484e-08
PRKAR1A,0.09236919,0.092369236,4.4703484e-08
EXOC5,0.21633273,0.21633278,4.4703484e-08
WDR18,0.22828013,0.22828017,4.4703484e-08
YBX1,0.091398135,0.09139818,4.4703484e-08
EML4,0.22524494,0.22524498,4.4703484e-08
NUP188,0.23225278,0.23225282,4.4703484e-08
UBR2,0.21427494,0.21427499,4.4703484e-08
MTHFD1,0.22698882,0.22698887,4.4703484e-08
RBM3,0.14803447,0.14803451,4.4703484e-08
SECISBP2,0.23624116,0.2362412,4.4703484e-08
HM13,0.21338595,0.213386,4.4703484e-08
ZFP91,0.22930631,0.22930636,4.4703484e-08
ITGB1BP1,0.20462643,0.20462647,4.4703484e-08
LMF2,0.24194063,0.24194068,4.4703484e-08
EMD,0.18872987,0.18872991,4.4703484e-08
CARM1,0.22627984,0.22627988,4.4703484e-08
ABCB8,0.20966291,0.20966296,4.4703484e-08
SMIM19,0.21780382,0.21780387,4.4703484e-08
LMBR1,0.21016316,0.2101632,4.4703484e-08
KCNH2,0.22062497,0.22062501,4.4703484e-08
TP53I13,0.223146,0.22314605,4.4703484e-08
IKBKB,0.22091143,0.22091147,4.4703484e-08
POGK,0.22630718,0.22630723,4.4703484e-08
ARID4B,0.22037394,0.22037399,4.4703484e-08
DLGAP4,0.21628472,0.21628477,4.4703484e-08
ARHGAP1,0.2230435,0.22304355,4.4703484e-08
