Gene,SPACER Score Before Training,SPACER Score After Training,Difference
H2AFJ,-1.0,1.556488275527954,2.556488275527954
EFR3A,-1.0,1.5564417839050293,2.5564417839050293
LPIN3,-1.0,1.555877685546875,2.555877685546875
APPL1,-1.0,1.554836630821228,2.554836630821228
GPR160,-1.0,1.5543781518936157,2.5543781518936157
BCL7C,-1.0,1.5534993410110474,2.5534993410110474
H6PD,-1.0,1.552530288696289,2.552530288696289
VPS72,-1.0,1.5519311428070068,2.551931142807007
WWP1,-1.0,1.5515711307525635,2.5515711307525635
TUBGCP2,-1.0,1.551435112953186,2.551435112953186
PRSS21,-1.0,1.5512243509292603,2.5512243509292603
DCDC2,-1.0,1.550870418548584,2.550870418548584
ZNF101,-1.0,1.5496015548706055,2.5496015548706055
PKP2,-1.0,1.5463436841964722,2.546343684196472
TRAF5,-1.0,1.5450940132141113,2.5450940132141113
TTC37,-1.0,1.5446133613586426,2.5446133613586426
BAIAP2,-1.0,1.5432921648025513,2.5432921648025513
SDC3,-1.0,1.54322350025177,2.54322350025177
OSBPL10,-1.0,1.541844129562378,2.541844129562378
ZNF317,-1.0,1.5410023927688599,2.54100239276886
MTX1,-1.0,1.5405298471450806,2.5405298471450806
CCAR1,-1.0,1.5375322103500366,2.5375322103500366
PGRMC2,-1.0,1.5347464084625244,2.5347464084625244
PVR,-1.0,1.5342962741851807,2.5342962741851807
YDJC,-1.0,1.5328948497772217,2.5328948497772217
GALE,-1.0,1.5328943729400635,2.5328943729400635
LPAR3,-1.0,1.5322356224060059,2.532235622406006
IKBKG,-1.0,1.5315310955047607,2.5315310955047607
FTX,-1.0,1.5313423871994019,2.531342387199402
ZFR,-1.0,1.531055212020874,2.531055212020874
AZIN1,-1.0,1.5301604270935059,2.530160427093506
ZNF561,-1.0,1.5300849676132202,2.53008496761322
SETD2,-1.0,1.5296752452850342,2.529675245285034
ROCK2,-1.0,1.528098464012146,2.528098464012146
MED15,-1.0,1.5263285636901855,2.5263285636901855
FAM160B2,-1.0,1.5262190103530884,2.5262190103530884
LRRC41,-1.0,1.5252972841262817,2.5252972841262817
FAM210B,-1.0,1.5251888036727905,2.5251888036727905
MAF1,-1.0,1.5250428915023804,2.5250428915023804
IHH,-1.0,1.5246542692184448,2.524654269218445
TEX261,-1.0,1.5168671607971191,2.516867160797119
COASY,-1.0,1.5163109302520752,2.516310930252075
SNAPC3,-1.0,1.516237735748291,2.516237735748291
ATL3,-1.0,1.5161631107330322,2.5161631107330322
FGFR1OP2,-1.0,1.5157287120819092,2.515728712081909
MOGS,-1.0,1.514569878578186,2.514569878578186
